x	y
38	100
25	96.49907182
19	75.336935
12.5	54.94489314
9.52	50.57464973
4.75	49.73628393
2	49.34213367
1.18	49.60324586
0.6	49.11100498
0.25	44.90034994
0.15	19.21069787
0.075	11.74061002
0.06927113	13.27550114
0.050314693	9.973458096
0.035886461	8.872777081
0.02461142	8.195633815
0.017589043	7.51849055
0.012845221	7.51849055
0.00901386	7.221755557
0.006402531	6.67141505
0.004527273	6.67141505
0.001314359	4.734684861
0.000926525	3.920688341
0.000504918	3.919712511
