x	porosity	dry	wet	100	80
8.138351984	39.08663613	103.146574	111.5410053	138.7012942	132.7000211
16.16881865	36.57313862	107.4027609	124.7685185	117.6931416	109.3558162
26.39744289	45.04318363	93.06015904	117.6256614	98.65947014	89.33784704
38.99119295	52.21458759	80.91658819	112.4669312	82.27673821	72.90622036
