Re	f	err
183.8979997	0.348019011	0.042725871
247.1189421	0.258984599	0.042725871
752.20365	0.085083341	0.042725871
787.1100195	0.081310107	0.042725871
1156.686552	0.055330461	0.042725871
2973.149772	0.042794	0.042725871
3152.036925	0.042173462	0.042725871
