mL	pH
0	7.1
0.13	7
0.235	7
0.385	6.95
0.525	6.85
0.715	6.75
0.915	6.5
1.115	6.3
1.465	2.2
1.565	1.9
1.665	1.75
1.765	1.6
1.865	1.45
