x	y
160	3053.628289
161	3019.984202
162	2986.915693
163	2954.409452
164	2922.452559
165	2891.032462
166	2860.136975
167	2829.754255
168	2799.872798
169	2770.481423
170	2741.569264
171	2713.125756
172	2685.14063
173	2657.603896
174	2630.505841
175	2603.837014
176	2577.588222
177	2551.750518
178	2526.315197
179	2501.273784
180	2476.618028
181	2452.339897
182	2428.431568
183	2404.885424
184	2381.694042
185	2358.850193
186	2336.346832
187	2314.177095
188	2292.33429
189	2270.811897
190	2249.603555
191	2228.703067
192	2208.104385
193	2187.801615
194	2167.789005
195	2148.060943
196	2128.611957
197	2109.436704
198	2090.529971
199	2071.88667
200	2053.501835
201	2035.370617
202	2017.488281
203	1999.850204
204	1982.451871
205	1965.288871
206	1948.356898
207	1931.651741
208	1915.169289
209	1898.905524
210	1882.856518
211	1867.018433
212	1851.387517
213	1835.960102
214	1820.732602
215	1805.70151
216	1790.863396
217	1776.214907
218	1761.752763
219	1747.473754
220	1733.374741
221	1719.452651
222	1705.704481
223	1692.127287
224	1678.718191
225	1665.474375
226	1652.393081
227	1639.471609
228	1626.707315
229	1614.09761
230	1601.639958
231	1589.331878
232	1577.170938
233	1565.154754
234	1553.280995
235	1541.547375
236	1529.951652
237	1518.491634
238	1507.165168
239	1495.970148
240	1484.904507
241	1473.96622
242	1463.153302
243	1452.463808
244	1441.895829
245	1431.447493
246	1421.116968
247	1410.902452
248	1400.802183
249	1390.814428
250	1380.937491
251	1371.169705
252	1361.509438
253	1351.955085
254	1342.505073
255	1333.15786
256	1323.91193
257	1314.765796
258	1305.718
259	1296.767109
260	1287.911716
261	1279.150442
262	1270.481932
263	1261.904854
264	1253.417903
265	1245.019794
266	1236.709269
267	1228.485089
268	1220.346039
269	1212.290926
270	1204.318575
271	1196.427836
272	1188.617576
273	1180.886682
274	1173.234063
275	1165.658644
276	1158.15937
277	1150.735204
278	1143.385126
279	1136.108135
280	1128.903245
281	1121.769489
282	1114.705916
283	1107.711588
284	1100.785587
285	1093.927008
286	1087.134961
287	1080.408571
288	1073.74698
289	1067.14934
290	1060.614819
291	1054.142599
292	1047.731876
293	1041.381857
294	1035.091762
295	1028.860827
296	1022.688296
297	1016.573427
298	1010.515491
299	1004.513769
300	998.5675534
301	992.6761492
302	986.8388712
303	981.0550455
304	975.3240086
305	969.6451074
306	964.0176989
307	958.4411503
308	952.9148386
309	947.4381501
310	942.010481
311	936.6312364
312	931.2998306
313	926.015687
314	920.7782376
315	915.586923
316	910.4411922
317	905.3405027
318	900.28432
319	895.2721176
320	890.3033769
321	885.3775869
322	880.4942443
323	875.6528532
324	870.852925
325	866.0939783
326	861.3755386
327	856.6971385
328	852.0583173
329	847.4586212
330	842.8976025
331	838.3748205
332	833.8898405
333	829.442234
334	825.0315789
335	820.6574588
336	816.3194634
337	812.0171882
338	807.7502344
339	803.5182087
340	799.3207235
341	795.1573965
342	791.0278509
343	786.9317148
344	782.8686218
345	778.8382105
346	774.8401243
347	770.8740117
348	766.939526
349	763.0363252
350	759.1640719
351	755.3224334
352	751.5110814
353	747.7296922
354	743.9779463
355	740.2555286
356	736.5621281
357	732.8974382
358	729.261156
359	725.6529831
360	722.0726247
361	718.51979
362	714.9941921
363	711.4955478
364	708.0235776
365	704.5780057
366	701.1585599
367	697.7649716
368	694.3969754
369	691.0543098
370	687.7367162
371	684.4439397
372	681.1757284
373	677.9318338
374	674.7120105
375	671.5160162
376	668.3436117
377	665.1945609
378	662.0686306
379	658.9655905
380	655.8852133
381	652.8272745
382	649.7915523
383	646.7778279
384	643.7858851
385	640.8155102
386	637.8664924
387	634.9386234
388	632.0316975
389	629.1455115
390	626.2798646
391	623.4345586
392	620.6093977
393	617.8041882
394	615.0187393
395	612.2528619
396	609.5063696
397	606.779078
398	604.0708051
399	601.381371
400	598.7105978
401	596.05831
402	593.4243339
403	590.8084981
404	588.2106331
405	585.6305714
406	583.0681475
407	580.5231978
408	577.9955606
409	575.4850762
410	572.9915867
411	570.5149359
412	568.0549697
413	565.6115355
414	563.1844826
415	560.7736619
416	558.3789263
417	556.0001302
418	553.6371295
419	551.289782
420	548.9579469
421	546.6414854
422	544.3402597
423	542.0541339
424	539.7829737
425	537.5266461
426	535.2850197
427	533.0579645
428	530.845352
429	528.6470551
430	526.4629482
431	524.2929069
432	522.1368085
433	519.9945312
434	517.865955
435	515.7509609
436	513.6494313
437	511.56125
438	509.4863018
439	507.4244731
440	505.3756512
441	503.3397248
442	501.3165838
443	499.3061192
444	497.3082233
445	495.3227894
446	493.3497121
447	491.388887
448	489.4402109
449	487.5035817
450	485.5788982
451	483.6660605
452	481.7649697
453	479.8755279
454	477.9976381
455	476.1312047
456	474.2761327
457	472.4323283
458	470.5996986
459	468.7781517
460	466.9675967
461	465.1679436
462	463.3791032
463	461.6009875
464	459.8335091
465	458.0765817
466	456.3301198
467	454.5940389
468	452.8682552
469	451.1526859
470	449.4472488
471	447.7518627
472	446.0664474
473	444.3909231
474	442.7252112
475	441.0692336
476	439.4229132
477	437.7861735
478	436.1589388
479	434.5411343
480	432.9326858
481	431.3335198
482	429.7435636
483	428.1627453
484	426.5909936
485	425.0282379
486	423.4744083
487	421.9294357
488	420.3932515
489	418.8657878
490	417.3469776
491	415.8367542
492	414.3350518
493	412.8418051
494	411.3569495
495	409.8804209
496	408.4121562
497	406.9520923
498	405.5001673
499	404.0563195
500	402.6204878
501	401.192612
502	399.7726322
503	398.3604891
504	396.9561241
505	395.5594789
506	394.170496
507	392.7891183
508	391.4152893
509	390.048953
510	388.690054
511	387.3385373
512	385.9943484
513	384.6574335
514	383.3277391
515	382.0052123
516	380.6898006
517	379.3814521
518	378.0801154
519	376.7857393
520	375.4982734
521	374.2176676
522	372.9438722
523	371.6768382
524	370.4165168
525	369.1628597
526	367.9158191
527	366.6753476
528	365.4413982
529	364.2139244
530	362.99288
531	361.7782194
532	360.5698973
533	359.3678686
534	358.172089
535	356.9825144
536	355.7991009
537	354.6218054
538	353.4505849
539	352.2853969
540	351.126199
541	349.9729497
542	348.8256074
543	347.684131
544	346.5484798
545	345.4186136
546	344.2944922
547	343.176076
548	342.0633258
549	340.9562025
550	339.8546676
551	338.7586827
552	337.6682099
553	336.5832116
554	335.5036503
555	334.4294893
556	333.3606917
557	332.2972213
558	331.2390419
559	330.1861179
560	329.1384138
561	328.0958945
562	327.0585251
563	326.0262712
564	324.9990984
565	323.9769729
566	322.9598609
