x	y
180	3086.419753
181	3052.409878
182	3018.959063
183	2986.055123
184	2953.6862
185	2921.84076
186	2890.507573
187	2859.675713
188	2829.334541
189	2799.473699
190	2770.083102
191	2741.152929
192	2712.673611
193	2684.635829
194	2657.030503
195	2629.848784
196	2603.082049
197	2576.721894
198	2550.760127
199	2525.188758
200	2500
201	2475.186258
202	2450.740124
203	2426.654372
204	2402.921953
205	2379.53599
206	2356.489773
207	2333.776751
208	2311.390533
209	2289.324878
210	2267.573696
211	2246.131039
212	2224.9911
213	2204.148207
214	2183.596821
215	2163.331531
216	2143.347051
217	2123.638217
218	2104.199983
219	2085.027418
220	2066.115702
221	2047.460126
222	2029.056083
223	2010.899073
224	1992.984694
225	1975.308642
226	1957.866708
227	1940.654777
228	1923.668821
229	1906.904903
230	1890.359168
231	1874.027848
232	1857.907253
233	1841.993774
234	1826.283878
235	1810.774106
236	1795.461074
237	1780.341469
238	1765.412047
239	1750.669631
240	1736.111111
241	1721.733441
242	1707.533638
243	1693.508781
244	1679.656006
245	1665.972511
246	1652.455549
247	1639.102428
248	1625.91051
249	1612.877212
250	1600
251	1587.276392
252	1574.703956
253	1562.280304
254	1550.0031
255	1537.87005
256	1525.878906
257	1514.027464
258	1502.313563
259	1490.735081
260	1479.289941
261	1467.976101
262	1456.791562
263	1445.734361
264	1434.802571
265	1423.994304
266	1413.307705
267	1402.740956
268	1392.29227
269	1381.959896
270	1371.742112
271	1361.637233
272	1351.643599
273	1341.759584
274	1331.98359
275	1322.31405
276	1312.749422
277	1303.288196
278	1293.928886
279	1284.670033
280	1275.510204
281	1266.447993
282	1257.482018
283	1248.61092
284	1239.833366
285	1231.148046
286	1222.55367
287	1214.048975
288	1205.632716
289	1197.303672
290	1189.060642
291	1180.902446
292	1172.827923
293	1164.835933
294	1156.925355
295	1149.095088
296	1141.344047
297	1133.671167
298	1126.075402
299	1118.555721
300	1111.111111
301	1103.740577
302	1096.443138
303	1089.217833
304	1082.063712
305	1074.979844
306	1067.965312
307	1061.019215
308	1054.140665
309	1047.328788
310	1040.582726
311	1033.901635
312	1027.284681
313	1020.731048
314	1014.239929
315	1007.810532
316	1001.442077
317	995.1337957
318	988.8849333
319	982.6947455
320	976.5625
321	970.4874759
322	964.4689634
323	958.5062638
324	952.5986892
325	946.7455621
326	940.9462155
327	935.1999925
328	929.5062463
329	923.8643398
330	918.2736455
331	912.7335457
332	907.2434316
333	901.8027036
334	896.4107713
335	891.0670528
336	885.7709751
337	880.5219734
338	875.3194916
339	870.1629815
340	865.0519031
341	859.9857242
342	854.9639205
343	849.9859752
344	845.0513791
345	840.1596303
346	835.3102342
347	830.5027033
348	825.736557
349	821.0113217
350	816.3265306
351	811.6817234
352	807.0764463
353	802.5102521
354	797.9826997
355	793.4933545
356	789.0417877
357	784.6275765
358	780.2503043
359	775.90956
360	771.6049383
361	767.3360395
362	763.1024694
363	758.9038393
364	754.7397657
365	750.6098705
366	746.5137806
367	742.4511282
368	738.4215501
369	734.4246884
370	730.4601899
371	726.5277061
372	722.6268933
373	718.7574122
374	714.9189282
375	711.1111111
376	707.3336351
377	703.5861788
378	699.8684247
379	696.18006
380	692.5207756
381	688.8902667
382	685.2882322
383	681.7143753
384	678.1684028
385	674.6500253
386	671.1589573
387	667.6949168
388	664.2576257
389	660.8468091
390	657.4621959
391	654.1035184
392	650.7705123
393	647.4629166
394	644.1804736
395	640.922929
396	637.6900316
397	634.4815334
398	631.2971895
399	628.1367579
400	625
401	621.8866798
402	618.7965644
403	615.7294239
404	612.6850309
405	609.6631611
406	606.6635929
407	603.6861074
408	600.7304883
409	597.796522
410	594.8839976
411	591.9927066
412	589.1224432
413	586.2730039
414	583.4441877
415	580.6357962
416	577.8476331
417	575.0795047
418	572.3312195
419	569.6025883
420	566.893424
421	564.2035421
422	561.5327598
423	558.8808969
424	556.247775
425	553.633218
426	551.0370517
427	548.4591041
428	545.8992052
429	543.3571867
430	540.8328826
431	538.3261287
432	535.8367627
433	533.3646241
434	530.9095542
435	528.4713965
436	526.0499958
437	523.645199
438	521.2568545
439	518.8848128
440	516.5289256
441	514.1890467
442	511.8650314
443	509.5567366
444	507.2640208
445	504.9867441
446	502.7247682
447	500.4779564
448	498.2461735
449	496.0292856
450	493.8271605
451	491.6396675
452	489.4666771
453	487.3080615
454	485.1636942
455	483.0334501
456	480.9172053
457	478.8148375
458	476.7262257
459	474.65125
460	472.5897921
461	470.5417347
