days	front	mid	end	settled
0	0	0	0	0
0.006944444	5	0	0	0
0.019444444	27	10	7	0
0.024305556	40	20	18	0
0.034027778	55	30	27	1
0.045833333	60	35	31	2
0.065972222	65	41	38	3
0.767361111	200	195	170	12
0.975694444	240	220	196	15
1.958333333	380	350	298	20
