days	1a	2a	3a	4a	5a	6a
0.100694444	0.136034325	0.112884892	0.149725148	0.177518792	0.107970515	0.118836929
1.131944444	0.282890504	0.232555992	0.266210156	0.224530342	0.200708466	0.184579813
2.069444444	0.325512378	0.265962473	0.279282285	0.21439344	0.209519163	0.197165081
3.006944444	0.350221219	0.292627219	0.301238798	0.219327715	0.218059897	0.206799188
3.944444444	0.374663622	0.316003537	0.324909693	0.233457618	0.22864268	0.22008716
5.222222222	0.411400386	0.34248167	0.351742382	0.251061703	0.24618548	0.236457313
